,칼로리(Kcal),탄수화물(g),단백질(g),지방(g),비타민A(mg),티아민(mg),리보플라빈(mg),비타민C(mg),칼슘(mg),철분(mg)
0,17.0,850.1,486.6,7364.5,17.7,12.5,780.9000000000001,6335.800000000001,134.3,규칙규칙규칙규칙규칙규칙규칙
1,16.0,852.3000000000001,544.8,8785.0,20.7,13.9,784.4,6383.6,282.29999999999995,규칙규칙규칙규칙규칙규칙규칙
2,14.0,753.8000000000001,414.1,8063.299999999999,215.70000000000002,212.20000000000002,842.4,6129.599999999999,140.1,규칙규칙규칙규칙규칙규칙규칙
3,18.0,811.9,512.4,7354.299999999999,18.3,11.0,876.5999999999999,5662.8,134.7,규칙규칙규칙규칙규칙규칙규칙
4,17.0,747.5,439.00000000000006,7803.4,32.2,12.0,917.3,5920.599999999999,130.0,규칙규칙규칙규칙규칙규칙규칙
5,19.0,769.4000000000001,391.0,7037.599999999999,88.7,73.8,851.0000000000001,5186.3,147.1,규칙규칙규칙규칙규칙규칙규칙
6,17.0,793.4000000000001,443.5,7204.799999999999,16.800000000000004,11.4,958.3999999999999,4842.8,153.7,규칙규칙규칙규칙규칙규칙규칙
7,18.0,792.4,441.4,7283.4,14.4,11.799999999999999,799.6999999999999,5340.5,128.4,규칙규칙규칙규칙규칙규칙규칙
8,18.0,820.8,528.5,7432.0,121.0,118.6,974.0999999999999,7621.4,202.2,규칙규칙규칙규칙규칙규칙규칙
9,15.0,823.4000000000001,455.5999999999999,7987.7,24.0,12.4,1662.9,8329.5,270.6000000000001,규칙규칙규칙규칙규칙규칙규칙
10,18.0,875.1999999999999,522.6999999999999,6417.7,17.7,11.299999999999999,763.1,5780.699999999999,172.20000000000002,규칙규칙규칙규칙규칙규칙규칙
11,18.0,735.3000000000001,406.2,7499.0,18.400000000000002,12.4,1008.0000000000001,5310.500000000001,140.1,규칙규칙규칙규칙규칙규칙규칙
12,18.0,826.6999999999999,426.40000000000003,6969.8,37.5,27.1,952.4999999999999,5699.7,139.2,규칙규칙규칙규칙규칙규칙규칙
13,17.0,845.0999999999999,600.9999999999999,9195.499999999998,54.7,36.699999999999996,1242.2,6992.2,159.1,규칙규칙규칙규칙규칙규칙규칙
14,18.0,739.4,447.4,7014.5,13.7,10.700000000000001,1008.0999999999999,6753.2,140.4,규칙규칙규칙규칙규칙규칙규칙
15,17.0,801.5,434.4,8922.900000000001,14.5,12.899999999999999,1256.1000000000001,6713.000000000001,170.39999999999998,규칙규칙규칙규칙규칙규칙규칙
16,18.0,971.8000000000001,597.3,9215.0,21.2,29.8,877.6,7294.200000000001,173.4,규칙규칙규칙규칙규칙규칙규칙
17,17.0,852.4,536.8000000000001,8327.0,35.9,25.400000000000002,1060.6,6186.899999999999,168.00000000000003,규칙규칙규칙규칙규칙규칙규칙
18,14.0,789.1999999999999,468.80000000000007,6427.200000000001,15.600000000000001,10.4,734.5999999999999,5722.1,147.4,규칙규칙규칙규칙규칙규칙규칙
19,14.0,828.8,406.0,8644.599999999999,43.4,42.00000000000001,1049.2,6559.5,223.59999999999997,규칙규칙규칙규칙규칙규칙규칙
