,num,칼로리(kcal),탄수화물(g),단백질(g),지방(g),비타민A(mg),티아민(mg),리보플라빈(mg),비타민C(mg),칼슘(mg),철분(mg)
0,1,18371.670000000002,2615.97,763.3600000000001,431.15,7199.1,12.600000000000001,11.6,922.4000000000001,5331.600000000001,119.90000000000003
1,2,20149.05,2623.6500000000005,837.4299999999998,554.9399999999999,7511.5,39.4,11.9,948.5,6301.1,201.5
2,3,18377.72,2527.2200000000003,771.6000000000001,435.25000000000006,5806.6,29.6,9.0,976.0,4855.3,113.1
3,4,18016.3,2615.08,725.53,446.8,6174.799999999999,19.200000000000003,11.9,957.4,5006.7,180.6
4,5,17469.04,2262.1200000000003,716.5999999999999,491.49,7929.900000000001,12.7,10.500000000000002,668.1000000000001,5582.1,116.60000000000004
5,6,18804.75,2765.4199999999996,751.27,433.23,6027.2,16.6,11.600000000000001,757.5,5014.900000000001,162.9
6,7,16508.260000000002,2259.91,741.98,436.54,5545.5,12.200000000000001,9.7,865.9,4868.9,162.0
7,8,18427.510000000002,2531.71,728.8599999999999,471.47999999999996,5115.900000000001,12.200000000000001,9.200000000000001,610.1,5318.4000000000015,112.0
8,9,20120.99,2699.55,857.5699999999999,552.6800000000001,6755.3,17.8,12.1,850.2,6237.5,126.10000000000004
9,10,21617.17,2896.0999999999995,892.79,518.22,7304.099999999999,59.4,49.800000000000004,932.0,6901.299999999999,182.3
10,11,17098.100000000002,2376.06,698.1200000000001,408.6,6131.900000000001,12.3,10.100000000000001,887.9999999999999,5258.999999999999,114.20000000000002
11,12,16876.62,2382.0800000000004,694.68,423.64,6998.299999999998,11.299999999999999,10.5,905.2,4150.3,116.00000000000001
12,13,17413.08,2403.4000000000005,775.47,508.54,5883.1,16.9,9.5,836.9,4520.099999999999,126.6
13,14,15631.989999999998,2045.49,729.86,397.12,5513.2,14.799999999999999,9.5,668.6,5444.900000000001,134.3
14,15,17060.750000000004,2418.86,715.8000000000001,427.47999999999996,8009.0,26.099999999999998,11.600000000000001,878.0999999999999,5179.299999999999,158.1
15,16,18275.239999999998,2616.9400000000005,678.58,519.97,6106.299999999999,16.300000000000004,11.200000000000001,1105.1000000000001,7007.1,121.10000000000001
16,17,18072.9,2336.71,803.6499999999999,457.41,6771.299999999999,32.3,23.3,756.7,4480.2,104.00000000000001
17,18,18427.24,2548.53,720.4200000000001,517.75,5437.1,13.2,8.9,996.4000000000001,4554.2,109.69999999999999
18,19,19762.830000000005,2589.19,795.82,572.1699999999998,6604.400000000001,59.599999999999994,11.1,884.7,6221.099999999999,138.29999999999998
19,20,19580.170000000002,2663.91,861.52,540.7300000000001,6955.9,16.2,14.3,825.5,6761.4,131.4
20,21,17593.760000000002,2179.98,718.1600000000001,473.23,5578.700000000001,13.999999999999998,9.2,636.4,4207.400000000001,116.2
