,일주일 식단
0,"[[['삼색수제비국', '삼치카레구이', '진미채볶음', '냉이된장무침', '배추김치'], ['오징어무국', '스크램블에그', '베이컨감자채볶음', '쑥갓나물', '배추김치'], ['톳밥', '추어탕', '돈육계란장조림', '해물파전', '깻잎지', '알타리김치']], [['동태알탕', '닭감자조림', '톳두부무침', '애호박새우젓볶음', '배추김치'], ['육개장', '두부전&양념장', '코다리순살무조림', '유채나물', '배추김치'], ['매생이굴국', '돼지갈비떡찜', '숙주맛살무침', '참나물무침', '배추김치']], [['쇠고기떡국', '참치야채볶음', '감자메추리알조림', '유채나물', '배추김치'], ['누룽지', '쇠고기계란장조림', '표고버섯새우살볶음', '어묵고추장볶음', '깍두기'], ['찰현미밥', '두부호박청국장국', '삼치카레구이', '돌김&양념장', '오이소박이', '파김치']], [['돈육김치찌개', '고등어카레구이', '달래오이무침', '미나리나물', '갓김치'], ['아욱된장국', '캔꽁치무조림', '새송이버섯새우살볶음', '깻잎지', '배추김치'], ['팥칼국수', '오징어도라지초무침', '콩나물무침', '고구마&단호박 튀김', '배추김치']], [['북어채무두부국', '분홍소세지전', '참치두부조림', '무생채액젓무침', '배추김치'], ['시래기된장국', '떡갈비새송이버섯조림', '순대야채볶음', '미역맛살무침', '배추김치'], ['검정쌀밥', '콩나물매운국', '돼지갈비단호박찜', '꼬시래기무침', '봄동겉절이', '갓김치']], [['근대된장국', '가자미구이', '돌김&양념장', '깻잎순볶음', '배추김치'], ['쇠고기미역국', '새우젓계란찜', '미트볼칠리소스조림', '숙주부추나물', '배추김치'], ['삼색수제비국', '오리훈제버섯볶음', '멸치꽈리고추조림', '꼴두기젓무침', '배추김치']], [['코다리두부국', '가쓰오브시계란말이', '쫄면야채무침', '느타리버섯새우살볶음', '배추김치'], ['물만두국', '게맛살계란말이', '어묵고추장볶음', '도라지들깨볶음', '갓김치'], ['김밥(한줄반)', '종합어묵쑥갓국', '순대야채볶음', '도라지오이초무침', '귤', '배추김치']]]"
1,"[[['콩나물김치국', '생선까스&소스', '미역줄기볶음', '냉이된장무침', '배추김치'], ['오징어무국', '너비아니구이', '감자채햄볶음', '쑥갓두부무침', '배추김치'], ['강황쌀밥', '닭개장', '두부전&양념장', '참치야채볶음', '시금치나물', '알타리김치']], [['장어탕', '돈육잡채볶음', '검정콩조림', '단무지채쏭쏭무침', '배추김치'], ['동태알탕', '부들어묵꽈리고추볶음', '김자반볶음', '쭈꾸미시금치초무침', '배추김치'], ['보리쌀밥', '얼갈이된장국', '제육볶음&상추쌈', '콩나물무침', '배추김치']], [['팽이버섯된장국', '가자미구이', '도토리묵치커리무침', '스위트콘샐러드', '배추김치'], ['북어채무두부국', '쇠고기낙지야채볶음', '마늘쫑장아찌무침', '실곤약야채무침', '배추김치'], ['팥찰쌀밥', '건새우미역국', '탕수육&소스', '해물볶음우동', '달래부추무침', '알타리김치']], [['삼색수제비국', '오징어야채볶음', '메추리알새송이버섯조림', '취나물무침', '배추김치'], ['참치김치찌개', '돈육메추리알장조림', '미역줄기볶음', '낙지젓무침', '배추김치'], ['참치야채비빔밥', '우렁살된장찌개', '오이양파무침', '귤', '쌈배추겉절이']], [['우렁살된장찌개', '비엔나소세지야채볶음', '연두부(100g)&양념장', '봄동겉절이', '파김치'], ['쇠고기야채죽', '참조기구이', '애호박새우살볶음', '숙주맛살무침', '배추김치'], ['검정쌀밥', '알어묵국', '닭감자조림', '돌김&양념장', '오이생채', '배추김치']], [['추어탕', '오징어잡채볶음', '스크램블에그', '유채나물', '배추김치'], ['돼지등뼈시래기탕', '해물완자전', '꽁치무조림', '브로콜리/초고추장', '배추김치'], ['홍합탕', '생선까스&소스', '그린샐러드&유자드레싱', '명엽채볶음', '배추김치']], [['무우오뎅국', '코다리순살무조림', '돈육메추리알장조림', '곰피&초고추장', '배추김치'], ['쇠고기미역국', '색색야채계란찜', '홍합살물파래전', '쌈배추나물', '깍두기'], ['보리쌀밥', '근대된장국', '제육볶음&상추쌈', '단무지채쏭쏭무침', '귤', '배추김치']]]"
2,"[[['콩나물매운국', '치킨까스&소스', '돈육김치볶음', '김자반볶음', '석박지'], ['두부새우젓계란탕', '삼치데리야끼조림', '새송이버섯새우살볶음', '미나리나물', '배추김치'], ['오징어덮밥', '쑥된장국', '시금치나물', '과일샐러드', '식빵튀김', '알타리김치']], [['오리탕', '분홍소세지전', '갈치호박조림', '숙주나물', '배추김치'], ['팽이버섯된장국', '홍합살물파래전', '캔꽁치무조림', '가랏나물', '배추김치'], ['코다리두부국', '두부전&양념장', '돼지족발냉채', '깻잎지', '배추김치']], [['쇠고기무두부국', '날치알계란찜', '떡갈비조림', '실곤약야채무침', '석박지'], ['대구알탕', '미트볼칠리소스조림', '새송이버섯새우살볶음', '무생채액젓무침', '배추김치'], ['강황쌀밥', '쑥된장국', '돈육잡채볶음', '베이컨감자채볶음', '곰피&초고추장', '배추김치']], [['얼갈이된장국', '가자미구이', '톳콩나물초무침', '느타리버섯볶음', '배추김치'], ['크림스프', '모닝빵&딸기쨈', '참치계란야채전', '김가루무침', '배추김치'], ['굴매생이떡국', '청파래오징어까스&소스', '골뱅이오이초무침', '그린샐러드&유자드레싱', '배추김치']], [['추어탕', '애호박전', '탕수육칠리소스볶음', '콩나물무침', '배추김치'], ['북어채무두부국', '쇠고기메추리알장조림', '애호박새우살볶음', '낙지젓무침', '배추김치'], ['보리쌀밥', '콩나물김치국', '삼치무조림', '햄피망조림', '봄동겉절이', '깍두기']], [['어묵무쑥갓국', '닭감자조림', '미역줄기볶음', '무생채액젓무침', '배추김치'], ['돈육김치찌개', '부들어묵꽈리고추볶음', '돌김&양념장', '쑥갓두부무침', '갓김치'], ['순두부찌개', '참조기구이', '숙주나물', '스위트콘샐러드', '배추김치']], [['쇠고기팽이버섯국', '대구콩나물찜', '치즈떡어묵메추리알떡볶이', '냉이된장무침', '배추김치'], ['육개장', '분홍소세지전', '오징어브로컬리냉채&초고추장', '멸치엿조림', '배추김치'], ['보리쌀밥', '건새우시금치된장국', '돼지갈비조랭이떡찜', '다진새송이해물전', '잔파김가루무침', '배추김치']]]"
3,"[[['근대된장국', '오리훈제버섯볶음', '멸치아몬드조림', '돌김&양념장', '배추김치'], ['두부호박청국장국', '삼치무조림', '감자채볶음', '물파래무무침', '배추김치'], ['콩나물밥&부추양념장', '꽃게탕', '오징어시금치초무침', '고구마치즈돈까스&소스', '귤', '배추김치']], [['부대찌개', '가쓰오브시계란말이', '스위트콘샐러드', '유채나물', '봄동겉절이'], ['콩나물김치국', '검정콩조림', '제육볶음', '미나리나물', '석박지'], ['새우살미역국', '쇠고기낙지야채볶음', '양배추쌈&양념장', '왕찐만두', '알타리김치']], [['알어묵국', '참조기구이', '명엽채볶음', '쌈배추나물', '깍두기'], ['누룽지', '두부조림', '표고버섯새우살볶음', '오이생채', '배추김치'], ['검정쌀밥', '사골곰탕', '병어무조림', '애호박새우살볶음', '돌김&양념장', '배추김치']], [['쇠고기무두부국', '가자미무조림', '부들어묵꽈리고추볶음', '도라지들깨볶음', '배추김치'], ['홍합탕', '해물완자전', '시금치나물', '낙지젓무침', '배추김치'], ['팽이버섯된장국', '돼지갈비단호박찜', '연두부(100g)&양념장', '무생채액젓무침', '배추김치']], [['두부청국장찌개', '생선까스&소스', '냉이된장무침', '감자채볶음', '배추김치'], ['바지락살미역국', '갈치카레구이', '검정콩조림', '가랏나물', '배추김치'], ['김가루주먹밥', '잔치국수', '단무지채쏭쏭무침', '바나나', '봄동겉절이']], [['육개장', '게맛살계란말이', '감자채볶음', '느타리버섯새우살볶음', '배추김치'], ['돈육김치찌개', '오징어야채볶음', '마늘쫑장아찌무침', '봄동나물무침', '갓김치'], ['동태알탕', '만두강정', '쑥갓두부무침', '숙주나물', '참치김치볶음']], [['물만두국', '참치야채볶음', '치킨까스&소스', '애호박새우살볶음', '배추김치'], ['야채죽', '미트볼조림', '콩나물무침', '깻잎지', '배추김치'], ['검정쌀밥', '쑥된장국', '갈치카레구이', '곤약메추리알장조림', '잔파김가루무침', '배추김치']]]"
4,"[[['쇠고기미역국', '어묵잡채볶음', '연근조림', '꼬시래기무침', '배추김치'], ['순두부맑은탕', '꽁치김치조림', '김자반볶음', '참나물무침', '배추김치'], ['보리쌀밥', '굴무두부국', '닭감자조림', '낙지젓무침', '양배추쌈&양념장', '알타리김치']], [['코다리두부국', '순대야채볶음', '쫄면야채무침', '메추리알새송이버섯조림', '배추김치'], ['누룽지', '해물완자전', '미역줄기볶음', '봄동겉절이', '파김치'], ['검정쌀밥', '돼지등뼈시래기탕', '생선까스&소스', '멸치아몬드조림', '시금치나물', '배추김치']], [['추어탕', '만두강정', '색색야채계란찜', '무나물', '배추김치'], ['참치김치찌개', '후랑크소세지야채볶음', '홍합살물파래전', '시금치나물', '깍두기'], ['콩나물국', '닭감자조림', '치즈떡어묵메추리알떡볶이', '봄동겉절이', '파김치']], [['얼갈이된장국', '제육볶음&상추쌈', '콩나물무침', '배추김치'], ['굴매생이떡국', '새송이버섯새우살볶음', '낙지젓무침', '쑥갓두부무침', '배추김치'], ['보리쌀밥', '꽃게탕', '두부전&양념장', '김자반볶음', '달래오이무침', '참치김치볶음']], [['홍합탕', '닭살코기야채깻잎볶음', '분홍소세지전', '애호박새우젓볶음', '배추김치'], ['물만두국', '감자엿조림', '연두부&양념장', '도라지오이초무침', '배추김치'], ['돼지등뼈시래기탕', '알어묵피망조림', '진미채볶음', '봄동나물무침', '깍두기']], [['쇠고기미역국', '오리훈제버섯볶음', '느타리버섯볶음', '무생채액젓무침', '배추김치'], ['쑥된장국', '오징어야채볶음', '두부전&양념장', '치커리사과무침', '배추김치'], ['콩나물김치국', '삼치카레구이', '콜슬로우샐러드', '시금치나물', '배추김치']], [['얼갈이된장국', '돼지갈비떡찜', '멸치아몬드조림', '김자반무침', '배추김치'], ['두부계란국', '가자미구이', '오징어젓무침', '봄동겉절이', '깍두기'], ['검정쌀밥', '쇠고기떡국', '치즈 인 치킨까스', '감자채볶음', '미역오이채초무침', '배추김치']]]"
5,"[[['동태탕', '분홍소세지전', '참치두부조림', '숙주나물', '배추김치'], ['어묵무쑥갓국', '참조기구이', '미역줄기볶음', '무생채액젓무침', '배추김치'], ['비빔밥', '팽이버섯된장국', '달래오이무침', '떠먹는요거트', '배추김치']], [['건새우미역국', '오징어무미나리초무침', '돈육김치볶음', '도라지나물', '깍두기'], ['누룽지', '연두부(100g)&양념장', '검정콩조림', '쌈배추겉절이', '파김치'], ['참치김치찌개', '고구마치즈돈까스&소스', '스파게티&소스', '시금치나물', '알타리김치']], [['쇠고기무국', '떡갈비조림', '스크램블에그', '달래부추무침', '배추김치'], ['얼갈이된장국', '캔꽁치무조림', '돈육계란장조림', '염장다시마&초고추장', '배추김치'], ['홍합탕', '어묵잡채볶음', '치커리사과무침', '돌김&양념장', '참치김치볶음']], [['건새우시금치된장국', '오리훈제버섯볶음', '어묵떡볶이', '꼬시래기무침', '깍두기'], ['물만두국', '참치두부조림', '진미채볶음', '미나리나물', '배추김치'], ['팥찰쌀밥', '북어채무두부국', '삼치카레구이', '김자반볶음', '오이생채', '배추김치']], [['추어탕', '메추리알새송이버섯조림', '연근조림', '참나물무침', '배추김치'], ['코다리두부국', '알어묵피망조림', '오징어야채볶음', '단무지채쏭쏭무침', '배추김치'], ['쑥된장국', '갈치카레구이', '떡갈비조림', '잔파김가루무침', '배추김치']], [['오징어무국', '탕수육칠리소스볶음', '감자채볶음', '쑥갓나물', '배추김치'], ['근대된장국', '쇠고기야채볶음', '멸치고추장무침', '돌나물무초무침', '배추김치'], ['건새우미역국', '제육볶음', '깻잎지', '숙주나물', '배추김치']], [['아욱된장국', '어묵잡채볶음', '곤약메추리알장조림', '새콤미나리무침', '배추김치'], ['건새우아욱된장국', '두부전&양념장', '미역줄기볶음', '세발나물', '배추김치'], ['검정쌀밥', '콩나물김치국', '갈치무조림', '진미채볶음', '홍합살물파래전', '알타리김치']]]"
6,"[[['얼갈이된장국', '가자미구이', '돌김&양념장', '유채나물', '배추김치'], ['누룽지', '오징어야채볶음', '연두부계란찜', '얼갈이나물', '깍두기'], ['카레라이스', '잔파계란국', '골뱅이오이초무침', '바나나', '배추김치']], [['돼지등뼈시래기탕', '고구마치즈돈까스&소스', '김자반무침', '깻잎지', '깍두기'], ['육개장', '해물완자전', '새송이버섯새우살볶음', '참나물무침', '배추김치'], ['보리쌀밥', '시래기된장국', '제육볶음&상추쌈', '숙주나물', '배추김치']], [['참치김치찌개', '돼지갈비떡찜', '숙주맛살무침', '봄동나물무침', '알타리김치'], ['코다리두부국', '해물완자전', '진미채볶음', '고사리들깨볶음', '배추김치'], ['쇠고기미역국', '갈치카레구이', '애호박전', '시금치나물', '배추김치']], [['오징어무국', '쇠고기낙지야채볶음', '사각어묵꽈리고추볶음', '애호박새우젓볶음', '배추김치'], ['유부팽이버섯된장국', '참조기구이', '두부전&양념장', '미나리나물', '배추김치'], ['쇠고기떡국', '동태포전', '돈육잡채볶음', '도라지들깨볶음', '배추김치']], [['동태탕', '해물파전', '검정콩조림', '오이생채', '배추김치'], ['순두부찌개', '감자채햄볶음', '꽁치김치조림', '얼갈이나물', '알타리김치'], ['감자수제비국', '오징어시금치초무침', '과일샐러드', '무나물', '배추김치']], [['꽃게탕', '멸치아몬드조림', '돌김&양념장', '콜슬로우샐러드', '배추김치'], ['쇠고기미역국', '감자엿조림', '해물완자전', '단무지채쏭쏭무침', '배추김치'], ['물만두국', '어묵떡볶이', '순대야채볶음', '참나물무침', '배추김치']], [['북어채무두부국', '미트볼칠리소스조림', '해물김치전', '돌나물무초무침', '깍두기'], ['두부청국장찌개', '병어무조림', '김자반볶음', '새송이버섯볶음', '배추김치'], ['톳밥', '돈육김치찌개', '치즈 인 치킨까스', '잔멸치메추리알장조림', '꼬시래기무침', '알타리김치']]]"
7,"[[['쑥된장국', '닭감자조림', '동그랑땡전', '무생채액젓무침', '배추김치'], ['누룽지', '꽁치무조림', '잔멸치고추장볶음', '숙주나물', '배추김치'], ['해물굴소스볶음밥', '얼갈이된장국', '도라지오이초무침', '천사채샐러드', '배추김치']], [['홍합탕', '갈비산적조림', '오징어젓무침', '솎음열무나물', '배추김치'], ['순두부찌개', '부들어묵꽈리고추볶음', '두부전&양념장', '도라지새우살볶음', '깍두기'], ['차조밥', '굴매생이떡국', '과일샐러드', '돼지갈비단호박찜', '시금치나물', '배추김치']], [['동태탕', '감자엿조림', '오징어야채볶음', '잔파김가루무침', '배추김치'], ['감자수제비국', '오징어도라지초무침', '치킨까스&소스', '꼬시래기무침', '배추김치'], ['두부호박청국장국', '어묵잡채볶음', '돈육메추리알장조림', '유채나물', '배추김치']], [['돈뼈감자탕', '청파래오징어까스&소스', '물파래무무침', '봄동겉절이', '파김치'], ['오징어무국', '계란장조림', '멸치아몬드조림', '느타리버섯볶음', '배추김치'], ['강황쌀밥', '얼갈이된장국', '갈치무조림', '다진새송이해물전', '달래부추무침', '배추김치']], [['추어탕', '등심돈까스&소스', '실곤약야채무침', '무나물', '배추김치'], ['참치김치찌개', '삼치카레구이', '돌김&양념장', '시금치나물', '알타리김치'], ['어묵무쑥갓국', '닭감자조림', '콩나물무침', '쌈배추나물', '깍두기']], [['북어채무두부국', '제육볶음', '미역줄기볶음', '참나물무침', '배추김치'], ['콩나물김치국', '생선까스&소스', '꼬시래기무침', '유채나물', '갓김치'], ['클로렐라쌀', '대구알탕', '참치야채볶음', '부들어묵꽈리고추볶음', '꼴두기젓무침', '배추김치']], [['돈육김치국', '고구마치즈돈까스&소스', '콩나물무침', '달래오이무침', '깍두기'], ['얼갈이된장국', '연두부&달래양념장', '진미채볶음', '마늘쫑장아찌무침', '배추김치'], ['보리쌀밥', '건새우미역국', '떡갈비새송이버섯조림', '해물파전', '잔파김가루무침', '배추김치']]]"
8,"[[['쇠고기팽이버섯국', '참조기구이', '스위트콘샐러드', '오징어시금치초무침', '배추김치'], ['쇠고기무두부국', '사각어묵고추장볶음', '마카로니샐러드', '단무지잔파쏭쏭무침', '배추김치'], ['북어채무두부국', '닭살코기야채깻잎볶음', '해물볶음우동', '새콤미나리무침', '배추김치']], [['콩나물매운국', '가자미무조림', '어묵떡볶이', '세발나물', '배추김치'], ['옥수수스프', '모닝빵&딸기쨈', '게맛살계란말이', '무생채액젓무침', '배추김치'], ['찰현미밥', '쑥된장국', '어묵잡채볶음', '돈육계란장조림', '숙주맛살무침', '알타리김치']], [['콩나물매운국', '삼치카레구이', '연두부&양념장', '미나리나물', '배추김치'], ['물만두국', '사각어묵고추장볶음', '미역초무침', '유채나물', '배추김치'], ['검정쌀밥', '근대된장국', '계란장조림', '참치야채볶음', '숙주나물', '파김치']], [['추어탕', '만두강정', '느타리버섯새우살볶음', '마늘쫑장아찌무침', '배추김치'], ['오징어무국', '스크램블에그', '멸치아몬드조림', '깻잎지', '배추김치'], ['팥찰쌀밥', '쇠고기무두부국', '어묵잡채볶음', '냉이된장무침', '돌김&양념장', '배추김치']], [['코다리두부국', '게맛살계란말이', '김자반무침', '오이지양념무침', '배추김치'], ['감자수제비국', '참치두부조림', '상추겉절이', '고사리들깨볶음', '배추김치'], ['팽이버섯된장국', '가자미구이', '가지볶음', '참나물무침', '배추김치']], [['돈뼈감자탕', '분홍소세지계란전', '염장다시마채무침', '무새우살나물', '배추김치'], ['건새우아욱된장국', '닭살코기굴소스볶음', '연근조림', '솎음열무나물', '배추김치'], ['돈육김치찌개', '생선까스&소스', '명엽채볶음', '얼갈이나물', '갓김치']], [['쑥된장국', '오리훈제버섯볶음', '애호박새우살볶음', '오리훈제버섯볶음', '배추김치'], ['육개장', '계란후라이', '미역줄기볶음', '세발나물', '배추김치'], ['검정쌀밥', '쇠고기미역국', '돈육메추리알장조림', '멸치아몬드조림', '오징어브로컬리냉채&초고추장', '알타리김치']]]"
9,"[[['북어채계란국', '오징어브로컬리냉채&초고추장', '감자채볶음', '가지볶음', '배추김치'], ['팽이버섯된장국', '캔고등어김치조림', '부추생채', '숙주나물', '깍두기'], ['팥칼국수', '고구마&단호박 튀김', '숙주나물', '봄동겉절이']], [['근대된장국', '가자미구이', '잔파김가루무침', '고사리들깨볶음', '배추김치'], ['건새우미역국', '어묵고추장볶음', '도라지오이초무침', '미나리나물', '백김치'], ['차조밥', '추어탕', '해물김치전', '진미채볶음', '냉이된장무침', '알타리김치']], [['두부새우젓계란탕', '고구마치즈돈까스&소스', '김자반무침', '머위순나물무침', '배추김치'], ['누룽지', '감자엿조림', '연두부&양념장', '시금치나물', '배추김치'], ['오징어무국', '어묵잡채볶음', '느타리버섯새우살볶음', '유채겉절이', '배추김치']], [['콩나물맑은국', '캔고등어무조림', '꼴두기젓무침', '쑥갓두부무침', '배추김치'], ['쇠고기떡국', '느타리버섯새우살볶음', '새콤무생채', '깻잎순볶음', '배추김치'], ['보리쌀밥', '꽃게탕', '닭감자조림', '염장다시마&초고추장', '숙주나물', '배추김치']], [['잔파계란국', '삼치카레구이', '돌김&양념장', '비름나물', '배추김치'], ['종합어묵쑥갓국', '두부전&양념장', '팽이버섯볶음', '오이생채', '배추김치'], ['얼갈이된장국', '제육볶음&상추쌈', '요구르트', '배추김치']], [['두부호박청국장국', '꽁치무조림', '명엽채볶음', '돌나물무초무침', '배추김치'], ['돈육김치찌개', '계란장조림', '콩나물무침', '봄동겉절이', '깍두기'], ['돈뼈감자탕', '생선까스&소스', '새송이버섯새우살볶음', '치커리생채', '배추김치']], [['콩나물김치국', '삼치카레구이', '오이지양념무침', '세발나물', '배추김치'], ['물만두국', '감자채볶음', '마늘쫑장아찌무침', '얼갈이나물', '갓김치'], ['검정쌀밥', '쇠고기무두부국', '오징어야채볶음', '멸치꽈리고추조림', '김자반무침', '알타리김치']]]"
