,단백질(g),리보플라빈(mg),비타민A(mg),비타민C(mg),지방(g),철분(mg),칼로리(kcal),칼슘(mg),탄수화물(g),티아민(mg)
0,639.05,11.4,4972.4000000000015,689.4999999999999,407.04,108.4,14755.41,4295.5999999999985,1949.01,18.5
1,756.38,11.4,7440.6,774.4999999999999,465.09,120.1,16894.67,4877.8,2141.580000000001,13.3
2,834.11,10.7,5212.9000000000015,858.2000000000003,500.57000000000005,108.1,18417.02,4773.5,2419.4700000000007,13.7
3,825.8300000000003,11.9,7499.2,1086.8,582.13,128.29999999999998,20174.64,5126.6,2782.94,15.000000000000002
4,463.30000000000007,874.8,15.7,5549.7,7990.2,규칙규칙규칙규칙규칙규칙규칙,,161.5,856.2,12.8
5,570.6999999999998,812.1000000000001,19.6,6536.299999999998,6419.9,규칙규칙규칙규칙규칙규칙규칙,,200.00000000000003,892.6,12.9
6,697.73,9.9,5864.0,720.5999999999998,468.96,129.70000000000002,17613.440000000002,4770.3,2396.81,12.0
7,737.5899999999998,210.0,7464.6,926.3,403.34,188.3,17918.75,6486.1,2595.82,213.0
8,467.4,843.7,18.700000000000006,5861.6,6778.800000000001,규칙규칙규칙규칙규칙규칙규칙,,122.1,936.2,12.7
9,485.6,812.1,31.800000000000008,5074.4,6589.6,규칙규칙규칙규칙규칙규칙규칙,,134.70000000000002,784.9999999999999,15.6
10,526.0,691.3000000000002,14.7,5888.4,8354.800000000001,규칙규칙규칙규칙규칙규칙규칙,,283.7999999999999,829.3,14.5
11,530.8000000000002,963.1,13.9,4959.9000000000015,6766.0,규칙규칙규칙규칙규칙규칙규칙,,117.79999999999998,801.6999999999998,10.8
12,398.4,897.0999999999998,14.2,7657.499999999999,7135.5999999999985,규칙규칙규칙규칙규칙규칙규칙,,138.2,792.6,11.8
13,807.9799999999998,10.8,6485.2,841.3000000000002,531.93,118.20000000000002,17977.59,5302.4,2293.2000000000007,14.999999999999998
14,492.2,867.8999999999999,65.10000000000001,5444.4,7423.5,규칙규칙규칙규칙규칙규칙규칙,,148.90000000000003,807.4,25.6
15,464.1,879.1999999999998,13.6,5737.9000000000015,6630.200000000002,규칙규칙규칙규칙규칙규칙규칙,,132.29999999999998,686.3,11.0
16,720.2900000000003,10.8,5446.1,955.5,414.02,186.7,17393.89,6472.7,2437.71,13.7
17,466.2,771.5,13.4,7078.9,6052.7,규칙규칙규칙규칙규칙규칙규칙,,147.5,775.4,10.6
18,692.24,11.1,4705.200000000002,877.7,422.2600000000001,113.1,17881.2,4381.3,2468.2900000000004,12.400000000000002
19,727.6899999999998,10.499999999999998,5495.4000000000015,704.3,436.94,108.7,15841.99,5585.600000000001,2035.53,11.2
20,793.2399999999999,12.4,7125.4,803.2,447.63,127.5,18158.360000000004,4936.4,2481.3,16.400000000000002
21,726.6500000000002,34.7,6749.5999999999985,924.3,405.29000000000013,119.5,17049.29,4578.499999999999,2442.5,51.3
