,식품군,식품이름,열량 (kcal),탄수화물 (g),단백질 (g),지방 (g),당류 (g),나트륨 (mg),포화지방산 (g)
0,가공유류,(CU) CU 메론우유,260.0,32.0,8.4,10.8,30.0,160.0,7.0
1,가공유류,(CU) CU 커피우유 (매일유업/비지에프리테일),228.8,32.0,7.2,8.0,33.66,200.0,6.0
2,가공유류,(CU) CU(씨유)우유 저지방,160.0,20.0,12.0,4.0,18.44,200.0,2.4
3,가공유류,(올가) 유기 딸기우유,480.0,60.0,12.8,15.68,37.98,192.0,9.6
4,가공유류,(올가) 유기 바나나우유,368.0,48.0,16.0,14.72,40.44,192.0,8.96
5,가공유류,(초록마을) 유기농 딸기우유,336.0,41.6,11.2,18.0,37.98,240.0,12.0
6,가공유류,(초록마을) 유기농 바나나우유,440.0,54.0,11.2,14.4,40.44,192.0,9.6
7,가공유류,(푸드머스) 바나나라떼,320.0,44.8,12.8,9.6,40.44,176.0,5.76
8,가공유류,가나초코(푸르밀),480.0,64.0,16.0,18.0,40.93,360.0,13.6
9,가공유류,건국 고칼슘우유 아카데미(건국유업),279.66,17.21,12.91,17.21,20.0,193.61,9.68
10,가공유류,건국 다크초코렛 우유(건국유업),251.45,38.68,6.77,8.12,40.93,203.1,6.58
11,가공유류,건국 딸기과즙우유(건국유업),270.79,42.55,7.74,7.74,37.98,154.74,4.84
12,가공유류,건국 아이밀크 꼬끼우(건국유업),247.15,17.19,12.9,13.97,20.0,193.42,9.03
13,가공유류,건국 오메가 수(秀)(건국유업),247.39,17.21,12.91,13.98,18.0,193.61,9.04
14,가공유류,건국 카페라떼마일드 커피(건국유업),232.56,32.94,6.78,7.75,32.58,193.8,6.2
15,가공유류,건국 헬스플러스 무지방&칼슘(건국유업),115.38,18.46,11.54,0.0,17.31,192.31,0.0
16,가공유류,건국 헬스플러스 저지방&칼슘(건국유업),153.26,19.16,11.5,3.06,19.16,191.57,1.53
17,가공유류,검은콩(푸르밀),540.0,76.0,16.4,17.6,37.78,400.0,10.4
18,가공유류,검은콩과 선식우유(건국유업),236.86,32.3,8.61,7.97,19.69,107.66,3.02
19,가공유류,검은콩우유(서울우유협동조합),250.0,34.0,8.0,10.0,18.87,200.0,5.0
20,가공유류,글루코사민 우유,280.0,20.0,12.0,16.0,20.0,200.0,9.6
21,가공유류,깜유 (남양유업),320.0,46.0,10.0,10.0,40.93,180.0,6.0
22,가공유류,남양 FRENCH CAF? 더블샷 라떼(우일음료),219.46,38.17,7.63,4.39,38.0,104.96,2.67
23,가공유류,남양 FRENCH CAF? 더블샷 카라멜마키아또(우일음료),229.01,40.08,7.63,4.2,30.71,104.96,2.48
24,가공유류,남양 VIP 비타민 우유,280.0,20.0,12.0,16.0,17.23,200.0,9.6
25,가공유류,남양 더블샷 라떼(우일음료),244.28,42.75,7.63,4.58,38.0,99.24,2.9
26,가공유류,남양 더블샷 모카(우일음료),236.64,42.75,7.63,3.97,38.0,83.97,2.6
27,가공유류,남양 더블샷 카라멜 마키아또(우일음료),229.01,41.22,7.63,4.12,30.71,83.97,2.6
28,가공유류,남양 맛있는 우유 딸기 (남양유업),260.0,40.0,10.0,6.0,40.0,160.0,4.0
29,가공유류,남양 맛있는우유 GT 무지방,120.0,20.0,12.0,0.0,18.0,200.0,0.0
30,가공유류,남양 칼로리를 뺀 진짜 바나나과즙 우유 (남양유업),360.0,46.0,10.0,16.0,32.0,190.0,9.4
31,가공유류,남양민트초코라떼 (남양유업),260.0,44.0,8.0,6.4,42.0,200.0,3.8
32,가공유류,내몸을 위한 시리얼 우유(비락),260.0,36.0,8.0,9.2,24.44,160.0,5.2
33,가공유류,논산딸기가 든 1등급 우유 (남양유업),240.0,34.0,10.0,7.6,40.0,180.0,4.8
34,가공유류,다방커피우유 (남양유업),300.0,50.0,8.0,7.8,33.66,160.0,6.6
35,가공유류,달콤하고 부드러운 딸기우유(건국유업),281.01,42.64,7.75,8.72,37.98,164.73,6.78
36,가공유류,달콤하고 부드러운 초코우유(건국유업),288.46,40.38,6.73,11.54,40.93,201.92,6.54
37,가공유류,달콤하고 부드러운 커피우유(건국유업),249.04,32.57,5.75,10.54,33.66,191.57,6.13
38,가공유류,대관령저지방밸런스(삼양식품),160.0,20.0,12.0,4.0,18.87,220.0,2.8
39,가공유류,덴마크 민트초코(동원F&B),250.0,44.0,8.0,4.8,32.0,220.0,3.2
40,가공유류,덴마크 카페라떼 민트(동원F&B),230.0,36.0,7.2,6.6,30.71,200.0,4.6
41,가공유류,덴마크 카푸치노커피(동원F&B),240.0,34.0,8.0,8.0,30.05,200.0,5.6
42,가공유류,덴마크 타로밀크티(동원F&B),370.0,62.0,7.0,10.6,36.0,180.0,9.6
43,가공유류,도토루 더 엑스퍼트카페모카200(서울우유협동조합),135.0,18.0,4.0,5.0,36.0,105.0,3.2
44,가공유류,도토루 더 엑스퍼트카페오레200(서울우유협동조합),125.0,16.0,4.0,5.0,36.0,85.0,3.0
45,가공유류,딸기(푸르밀),560.0,88.0,17.2,15.6,56.6,500.0,10.8
46,가공유류,딸기라떼(비락),300.0,40.0,12.0,10.0,37.98,200.0,6.4
47,가공유류,딸기에몽 (남양유업),320.0,50.0,8.0,9.0,37.98,170.0,6.0
48,가공유류,딸기우유 200ml,240.8,37.2,10.4,5.6,40.0,147.92,3.2
49,가공유류,딸기우유(건국유업),276.98,42.02,7.64,8.6,37.98,162.37,6.68
50,가공유류,딸기크림치즈라떼(푸르밀),560.0,84.0,16.0,18.8,37.98,280.0,14.0
51,가공유류,로얄밀크티(서울우유협동조합),266.67,35.0,0.0,10.0,33.33,216.67,6.0
52,가공유류,롯데슈퍼만의 고칼슘우유(건국유업),279.93,19.38,12.92,17.23,20.0,193.8,10.77
53,가공유류,롯데슈퍼만의 저지방우유(건국유업),154.04,18.48,12.32,3.08,18.0,195.11,2.05
54,가공유류,마끼아또 커피가 든 1등급우유 (남양유업),260.0,38.0,8.0,8.6,30.71,160.0,5.4
55,가공유류,맛있는 우유 쵸코 (남양유업),280.0,42.0,10.0,8.0,40.93,90.0,4.2
56,가공유류,맛있는 우유 커피 (남양유업),260.0,36.0,8.0,9.6,33.66,170.0,6.4
57,가공유류,맛있는 우유GT 저지방로우,180.0,20.0,12.0,6.4,18.0,200.0,4.8
58,가공유류,매일우유 검은콩,236.0,72.4,8.6,6.4,37.78,160.0,3.6
59,가공유류,매일우유 딸기,270.0,44.0,8.0,6.4,37.98,220.0,4.2
60,가공유류,매일우유 딸기(멸균),270.0,88.0,8.0,6.4,88.0,220.0,4.2
61,가공유류,매일우유 무지방&고칼슘 0%,120.0,20.0,12.0,0.0,18.0,200.0,0.0
62,가공유류,매일우유 저지방&고칼슘 1%,160.0,20.0,12.0,4.0,18.0,200.0,2.4
63,가공유류,매일우유 초콜릿,240.0,30.0,12.0,7.6,38.0,240.0,4.8
64,가공유류,매일우유 초콜릿(멸균),260.0,44.0,10.0,5.2,38.0,130.0,3.2
65,가공유류,매일우유 커피,240.4,36.0,8.8,6.8,33.66,220.0,4.0
66,가공유류,모카치노 커피가 든 1등급우유 (남양유업),240.0,32.0,8.0,8.6,30.0,170.0,5.4
67,가공유류,목장의 신선함이 살아있는 우유 무지방(서울우유협동조합),140.0,20.0,12.0,0.0,20.0,220.0,0.0
68,가공유류,몽키(서울우유협동조합),141.98,27.16,4.94,1.73,40.44,80.25,1.24
69,가공유류,무지방우유MBP(서울우유협동조합),140.0,20.0,12.0,0.0,20.0,220.0,0.0
70,가공유류,미니카페 모카라떼 커피,95.56,14.67,2.67,2.89,14.67,66.67,2.0
71,가공유류,미니카페 스트로베리라떼,91.11,13.78,3.11,2.44,37.98,66.67,1.78
72,가공유류,미니카페 카라멜마끼아또 커피,91.11,14.22,2.44,2.67,30.71,66.67,1.78
73,가공유류,밀크팩토리 딸기(동원F&B),280.0,44.0,10.0,7.6,37.98,190.0,5.2
74,가공유류,밀크팩토리 카페라떼(동원F&B),250.0,40.0,10.0,5.6,32.58,160.0,4.0
75,가공유류,밀크팩토리 코코아(동원F&B),240.0,40.0,12.0,3.6,40.93,240.0,2.2
76,가공유류,밀크홀릭 딸기,135.0,22.0,4.0,3.5,329.41,90.0,3.5
77,가공유류,밀크홀릭 초코,150.0,24.0,4.0,4.0,329.41,95.0,2.5
78,가공유류,밀크홀릭 커피,120.0,18.0,4.0,3.5,33.66,110.0,3.5
79,가공유류,빙그레 딸기맛우유,308.33,43.33,11.67,10.0,43.33,183.33,6.67
80,가공유류,빙그레 메론맛우유(빙그레),325.0,45.0,10.0,11.67,45.0,183.33,7.5
81,가공유류,빙그레 바나나맛우유 & 토피넛,128.47,17.36,4.17,4.86,43.33,76.39,3.12
82,가공유류,빙그레 바나나맛우유 Light(빙그레),275.0,41.67,10.83,7.5,40.44,183.33,5.0
83,가공유류,빙그레 바나나맛우유(빙그레),350.0,45.0,11.67,13.33,40.44,183.33,8.33
84,가공유류,뼈건강우유(비락),280.0,20.0,12.0,15.6,16.0,220.0,9.6
85,가공유류,뼈를 생각한 우유 엠비피(서울우유협동조합),280.0,20.0,12.0,16.0,18.0,200.0,10.0
86,가공유류,삼양저지방우유(삼양식품),160.0,20.0,12.0,4.0,18.44,220.0,2.8
87,가공유류,상하목장 유기농 딸기우유,336.0,41.6,14.0,18.0,37.98,240.0,12.0
88,가공유류,상하목장 유기농 바나나우유,352.0,43.2,11.2,9.6,40.44,192.0,9.6
89,가공유류,상하목장 유기농 코코아우유,352.0,48.0,12.16,11.2,38.0,192.0,8.0
90,가공유류,새벽목장 오메가3&칼슘,260.0,18.8,12.0,16.0,18.61,200.0,10.0
91,가공유류,새벽목장 저지방&고칼슘,160.0,20.0,12.0,4.0,18.0,200.0,2.4
92,가공유류,생바나나(푸르밀),600.0,92.0,18.4,16.8,40.44,400.0,13.6
93,가공유류,생블루베리(푸르밀),520.0,92.0,16.8,9.2,92.0,340.0,8.8
94,가공유류,서울우유 딸기(서울우유협동조합),260.0,42.0,10.0,6.0,40.0,160.0,4.0
95,가공유류,서울우유 딸기밀크(서울우유협동조합),259.26,38.52,8.89,7.7,40.0,162.96,4.44
96,가공유류,서울우유 딸기우유(서울우유협동조합),240.0,38.0,10.0,6.2,40.0,150.0,4.0
97,가공유류,서울우유 모카라떼(서울우유협동조합),160.49,20.99,4.94,6.17,18.52,98.76,4.32
98,가공유류,서울우유 모카우유(서울우유협동조합),120.0,18.0,4.0,3.8,18.0,70.0,2.0
99,가공유류,서울우유 바나나(서울우유협동조합),340.0,44.0,10.0,14.0,40.44,170.0,8.0
100,가공유류,서울우유 바나나밀크(서울우유협동조합),288.89,44.44,10.37,7.41,40.44,162.96,4.59
101,가공유류,서울우유 초코렛우유(서울우유협동조합),140.0,22.0,5.0,3.0,42.0,80.0,2.0
102,가공유류,서울우유 초코우유(서울우유협동조합),274.08,44.44,10.37,6.08,42.0,177.78,4.0
103,가공유류,서울우유 초콜릿(서울우유협동조합),280.0,44.0,10.0,6.0,42.0,160.0,4.0
104,가공유류,서울우유 초콜릿우유(서울우유협동조합),280.0,44.0,10.0,6.0,42.0,160.0,4.0
105,가공유류,서울우유 카페모카(서울우유협동조합),251.6,38.0,6.0,8.4,36.0,200.0,5.0
106,가공유류,서울우유 카페오레(서울우유협동조합),241.8,36.0,6.0,8.2,28.0,200.0,5.0
107,가공유류,서울우유 커피밀크(서울우유협동조합),244.44,38.52,8.89,5.92,28.0,162.96,4.0
108,가공유류,서울우유 커피우유(서울우유협동조합),240.0,38.0,10.0,5.0,28.0,160.0,4.0
109,가공유류,속편한 우유 락토프리(서울우유협동조합),240.0,16.0,12.0,14.0,16.0,160.0,8.0
110,가공유류,쉐이킹 라이트 딸기&바나나(서울우유협동조합),270.0,32.0,14.0,10.0,50.3,200.0,6.0
111,가공유류,쉐이킹 라이트 카카오(서울우유협동조합),300.0,36.0,14.0,10.4,35.72,240.0,6.4
112,가공유류,쉐이킹 라이트 카페오레커피(서울우유협동조합),270.0,32.0,14.0,10.0,30.0,300.0,6.0
113,가공유류,스타벅스 더블샷 에스프레소&크림(동서식품),233.6,40.0,7.6,4.8,40.0,170.0,2.8
114,가공유류,스타벅스 커피 라떼(서울우유협동조합),320.0,34.0,10.0,16.0,30.71,140.0,4.0
115,가공유류,스타벅스 커피 초콜릿 모카(서울우유협동조합),150.0,17.0,4.0,7.0,36.0,120.0,4.0
116,가공유류,스타벅스 커피 카라멜향(서울우유협동조합),310.0,36.0,10.0,14.0,30.71,140.0,4.0
117,가공유류,스타벅스 프라푸치노 모카(동서식품),248.52,45.56,5.68,4.84,44.12,156.6,3.28
118,가공유류,스타벅스 프라푸치노 바닐라향(동서식품),242.76,44.12,5.68,4.84,35.6,156.6,3.28
119,가공유류,스타벅스 프라푸치노 카라멜향(동서식품),251.76,45.56,7.12,4.56,44.12,156.6,2.84
120,가공유류,스타벅스 프라푸치노 커피(동서식품),251.76,45.56,7.12,4.56,42.72,156.6,2.56
121,가공유류,스타벅스 프라푸치노 쿠키향(동서식품),260.04,45.56,8.56,4.84,44.12,156.6,2.84
122,가공유류,스타벅스디스커버리즈 화이트 초콜릿 모카(서울우유협동조합),292.0,38.0,8.0,12.0,38.0,200.0,7.2
123,가공유류,스페셜티 카페라떼 마일드(서울우유협동조합),239.2,33.6,6.4,8.8,32.58,176.0,5.28
124,가공유류,신선하고 깨끗한 우유(비락),280.0,20.0,12.0,16.0,20.0,240.0,9.2
125,가공유류,신선하고 깨끗한 참 맛있는 우유(비락),280.0,20.0,16.0,16.0,20.0,240.0,10.0
126,가공유류,신선한 딸기우유 (남양유업),260.0,40.0,10.0,6.0,40.0,160.0,4.0
127,가공유류,신선한 초코우유 (남양유업),260.0,36.0,10.0,7.6,40.93,180.0,4.2
128,가공유류,신선한 커피우유 (남양유업),260.0,36.0,8.0,9.6,33.66,170.0,6.4
129,가공유류,아라비카커피우유(서울우유협동조합),259.92,38.4,7.68,8.4,33.66,200.0,5.2
130,가공유류,아인슈타인 Kids,260.0,19.6,12.8,14.8,19.46,194.4,8.4
131,가공유류,아인슈타인 베이비 프리미엄,260.0,20.0,14.0,14.0,19.46,200.0,8.8
132,가공유류,아침&딸기우유(삼양식품),260.0,40.0,8.0,7.2,37.98,180.0,4.8
133,가공유류,아침&바나나우유(삼양식품),260.0,36.0,8.0,10.0,40.44,200.0,6.8
134,가공유류,아침&저지방우유(삼양식품),160.0,20.0,12.0,4.0,18.44,220.0,2.8
135,가공유류,아침&초코우유(삼양식품),220.0,44.0,8.0,2.0,40.93,220.0,1.6
136,가공유류,아침&커피우유(삼양식품),220.0,32.0,4.0,8.0,33.66,140.0,5.2
137,가공유류,아카페라 ExtraShot 다크 바닐라라떼 커피,125.0,19.0,3.5,4.0,17.0,70.0,2.5
138,가공유류,아카페라 ExtraShot 다크 카라멜라떼 커피,125.0,19.0,3.5,4.0,17.0,70.0,2.5
139,가공유류,아카페라 ExtraShot 다크 카페라떼 커피,120.0,18.0,3.5,4.0,16.0,70.0,2.5
140,가공유류,앙팡(서울우유협동조합),280.0,20.0,12.0,16.0,20.0,200.0,10.0
141,가공유류,앙팡베이비(서울우유협동조합),280.0,20.0,12.0,16.0,20.0,200.0,10.0
142,가공유류,앞선아이,280.0,20.0,12.0,16.0,18.75,200.0,9.6
143,가공유류,앱솔루트 W 베이비,65.0,4.5,3.0,4.0,4.5,50.0,2.5
144,가공유류,앱솔루트 W 어린이,65.0,4.5,3.0,4.0,4.5,50.0,2.5
145,가공유류,언니몰래 먹는 딸기오레(서울우유협동조합),250.0,36.0,10.0,8.0,37.98,200.0,5.0
146,가공유류,에너지초코우유(서울우유협동조합),269.23,44.62,10.77,5.69,40.93,200.0,3.38
147,가공유류,에코그린캠퍼스 하이바나나(삼양식품),260.0,36.0,8.0,10.0,40.44,200.0,6.8
148,가공유류,에코그린캠퍼스 하이베리(삼양식품),260.0,40.0,8.0,7.2,37.98,180.0,4.8
149,가공유류,에코그린캠퍼스 하이초코(삼양식품),220.0,44.0,8.0,2.0,40.93,220.0,1.6
150,가공유류,엔젤우유 딸기(동원F&B),300.0,44.0,12.0,8.8,37.98,180.0,6.0
151,가공유류,엔젤우유 바나나(동원F&B),340.0,48.0,12.0,12.0,40.44,180.0,8.4
152,가공유류,영동산골 저지방우유(비락),200.0,20.0,12.0,7.2,18.44,220.0,4.8
153,가공유류,오곡라떼(푸르밀),480.0,72.0,15.6,14.4,72.0,340.0,10.8
154,가공유류,우유속에 딸기과즙,240.0,34.0,10.0,7.4,37.98,190.0,4.8
155,가공유류,우유속에 마끼아또 커피,253.0,36.0,7.0,9.0,33.66,200.0,5.4
156,가공유류,우유속에 모카치노 커피,266.0,36.0,8.0,10.0,33.66,220.0,7.0
157,가공유류,우유속에 바나나과즙,270.0,32.8,8.8,12.0,28.0,220.0,7.6
158,가공유류,우유속에 에스프레소 커피,266.0,36.0,8.0,10.0,33.66,230.0,6.6
159,가공유류,우유속에 코코아,270.0,36.0,10.4,9.2,40.93,220.0,6.0
160,가공유류,장건강우유(비락),280.0,20.0,12.0,15.2,20.0,220.0,10.0
161,가공유류,저지방 프리미엄 순(비락),200.0,20.0,12.0,8.0,18.44,220.0,4.8
162,가공유류,참맛 딸기 (자연과사람들),273.68,44.21,8.42,7.37,40.0,273.68,7.37
163,가공유류,참맛 초코(빙그레),300.0,46.0,8.0,9.0,44.0,200.0,6.0
164,가공유류,참맛 커피(빙그레),240.0,36.0,7.0,8.0,28.0,200.0,5.0
165,가공유류,참프리미엄우유 오메가3 우유(비락),280.0,20.0,12.0,16.0,18.87,180.0,10.0
166,가공유류,천연원료로 만든 비타민 우유(비락),280.0,20.0,16.0,16.0,17.23,240.0,11.2
167,가공유류,초코라떼(비락),260.0,44.0,12.0,5.6,32.0,160.0,3.2
168,가공유류,초코레떼 (자연과사람들),6.13,1.19,0.13,0.1,3.6,5.74,0.1
169,가공유류,초코에몽 (남양유업),340.0,50.0,10.0,12.0,46.0,150.0,6.4
170,가공유류,초코우유(건국유업),286.53,40.12,6.68,11.46,38.2,200.57,6.5
171,가공유류,쵸키(서울우유협동조합),233.33,37.78,8.89,5.78,42.0,166.67,3.33
172,가공유류,치키타 바나나가 든 1등급우유 (남양유업),300.0,36.0,10.0,12.0,40.44,170.0,7.8
173,가공유류,카와 모카 리치 에스프레소(서울F&B),232.94,37.99,7.6,5.62,36.8,159.54,3.34
174,가공유류,카와 스모키 리치 라떼(서울F&B),250.46,38.46,6.15,8.0,30.71,146.15,5.08
175,가공유류,카와 에스프레소 리치 라떼(서울F&B),240.46,35.32,6.14,8.29,33.6,153.55,5.22
176,가공유류,카와 카라멜 리치 에스프레소(서울F&B),249.64,38.24,7.65,7.34,30.71,175.91,4.59
177,가공유류,카페라떼 녹차라떼,299.04,41.92,11.44,9.52,32.68,257.16,5.72
178,가공유류,카페라떼 초콜릿라떼,364.32,52.6,13.16,11.28,30.71,366.2,7.52
179,가공유류,카페라떼 커피 마일드 카페라떼,240.4,30.76,7.68,9.6,32.0,250.0,5.76
180,가공유류,카페라떼 커피 카라멜 마끼아또,239.48,34.48,5.76,8.8,76.0,210.72,5.76
181,가공유류,카페라떼 커피 카푸치노,249.76,34.6,7.68,8.64,22.52,182.52,5.76
182,가공유류,카페모카(푸르밀),440.0,72.0,15.2,9.2,205.25,360.0,7.6
183,가공유류,카페아라비카,250.0,36.0,6.0,8.6,30.71,140.0,5.6
184,가공유류,칼슘이 풍부한 저지방우유(건국유업),147.88,18.48,11.09,3.7,20.0,184.84,1.85
185,가공유류,커피빈 모카라떼(서울우유협동조합),247.92,40.0,6.68,6.8,30.71,128.0,4.12
186,가공유류,커피빈 바닐라라떼(서울우유협동조합),246.84,40.0,6.68,6.68,30.71,146.68,4.4
187,가공유류,커피빈 카페라떼(서울우유협동조합),238.28,36.0,8.0,6.92,30.71,126.4,4.24
188,가공유류,컵 커피 마끼야또(푸르밀),440.0,64.0,15.6,12.8,30.71,340.0,10.4
189,가공유류,컵 커피 카페라떼(푸르밀),440.0,64.0,15.6,13.2,30.71,340.0,10.4
190,가공유류,컵 커피 카페모카(푸르밀),440.0,64.0,15.6,12.8,30.71,340.0,10.4
191,가공유류,키드우유(비락),280.0,20.0,12.0,16.0,18.87,220.0,9.6
192,가공유류,타시모 게발리아 카푸치노(Mondelez Deutschland Production GmbH & Co.KG),709.2,60.0,30.8,38.4,32.0,1230.8,24.8
193,가공유류,타시모 까르때누아 라떼 마끼아또 카라멜향(Mondelez Deutschland Production GmbH & Co.KG),695.2,80.8,24.0,30.8,30.71,1076.8,20.0
194,가공유류,타시모 까르떼누아 카푸치노(Mondelez Deutschland Production GmbH & Co.KG),658.4,34.0,34.0,43.2,32.0,1230.8,27.6
195,가공유류,타시모 캐드버리(Mondelez Deutschland Production GmbH & Co.KG),615.2,30.8,30.8,43.2,30.8,1230.8,27.6
196,가공유류,프렌치카페 모카초코(남양유업),222.67,36.5,5.76,5.96,36.0,144.09,3.84
197,가공유류,프렌치카페 아몬드모카(남양유업),243.19,36.47,5.76,8.25,34.55,211.13,5.18
198,가공유류,프렌치카페 에스프레소 골드(남양유업),248.9,38.35,5.75,8.05,34.52,134.23,4.98
199,가공유류,프렌치카페 카라멜마키아또(남양유업),263.22,38.32,7.66,8.81,36.56,172.41,5.56
200,가공유류,프렌치카페 카페오레(남양유업),255.28,34.55,7.68,9.6,34.0,153.55,6.33
201,가공유류,프렌치카페 카푸치노(남양유업),239.96,34.58,7.68,7.88,32.0,144.09,5.0
202,가공유류,프렌치카페 화이트초코모카(남양유업),237.78,36.43,5.75,7.67,36.0,191.76,4.79
203,가공유류,핑키(서울우유협동조합),141.98,24.69,4.94,2.72,37.98,80.25,1.85
204,가공유류,허니렌틸콩(푸르밀),560.0,72.0,23.6,20.8,64.0,360.0,14.8
205,가공유류,허쉬초콜릿드링크,66.57,12.34,2.3,0.89,12.63,46.8,0.21
206,가공유류,허쉬초콜릿드링크 밀크 초콜릿,71.31,11.49,2.13,1.87,12.63,42.55,0.85
207,가공유류,허쉬초콜릿드링크 쿠키'앤'크림,72.85,11.91,2.77,1.57,12.63,51.06,0.51
208,가공유류,활기찬 우유(건국유업),257.65,18.25,12.88,13.96,18.0,193.24,9.02
209,가공유류,후레쉬 초콜릿 밀크,230.0,84.0,10.0,3.0,190.3,180.0,1.8
210,가공유류,후토스 우유(건국유업),258.4,19.38,12.92,14.0,18.0,193.8,9.04
211,즉석섭취·편의식품류, Oh!징어버거(삼강),355.11,31.96,12.56,17.83,12.99,647.55,2.63
