,성별,골격근량,체지방량,BMI,체지방율,복부지방율,몸무게,나이,키,권장섭취량,탄수화물,단백질,지방,비타민A,티아민,리보플라빈,비타민C,칼슘,철분,알레르기
0,1,21.7,6.0,16.95419393,13.2,0.7,45.6,17,164.0,2700,209.7825,104.89125,15.53944444,850.0,1.3,1.7,110.0,900.0,15.0,
1,1,22.1,7.0,16.83558013,14.7,0.7,47.8,17,168.5,2700,217.695,108.8475,16.12555556,850.0,1.3,1.7,110.0,900.0,15.0,
2,1,22.3,6.7,17.79881657,14.3,0.8,47.0,17,162.5,2700,211.545,105.7725,15.67,850.0,1.3,1.7,110.0,900.0,15.0,"5,7"
3,1,22.4,5.9,18.05485899,12.7,0.8,46.8,17,161.0,2700,210.0075,105.00375,15.55611111,850.0,1.3,1.7,110.0,900.0,15.0,
4,1,22.5,6.2,16.50240436,13.2,0.7,47.3,17,169.3,2700,217.26375,108.631875,16.09361111,850.0,1.3,1.7,110.0,900.0,15.0,
5,1,22.6,8.0,17.89866751,16.3,0.8,49.5,17,166.3,2700,219.55125,109.775625,16.26305556,850.0,1.3,1.7,110.0,900.0,15.0,
6,1,22.7,8.6,18.66659185,17.2,0.8,49.9,17,163.5,2700,218.27625,109.138125,16.16861111,850.0,1.3,1.7,110.0,900.0,15.0,"15,1"
7,1,22.8,3.5,17.15937223,7.8,0.8,45.2,17,162.3,2700,207.6825,103.84125,15.38388889,850.0,1.3,1.7,110.0,900.0,15.0,
8,1,22.9,6.9,16.70823349,14.1,0.7,49.2,17,171.6,2700,222.9075,111.45375,16.51166667,850.0,1.3,1.7,110.0,900.0,15.0,
9,1,23.4,2.9,16.74931129,6.3,0.7,45.6,17,165.0,2700,210.5325,105.26625,15.595,850.0,1.3,1.7,110.0,900.0,15.0,
10,1,23.5,5.2,17.46275682,11.0,0.7,47.6,17,165.1,2700,214.7325,107.36625,15.90611111,850.0,1.3,1.7,110.0,900.0,15.0,
11,1,23.5,9.0,19.56490087,17.3,0.8,51.6,17,162.4,2700,220.9575,110.47875,16.36722222,850.0,1.3,1.7,110.0,900.0,15.0,
12,1,23.8,9.2,19.23708294,17.5,0.8,52.5,17,165.2,2700,224.91375,112.456875,16.66027778,850.0,1.3,1.7,110.0,900.0,15.0,
13,1,23.0,5.9,15.85754561,12.2,0.7,47.9,17,173.8,2700,221.87625,110.938125,16.43527778,850.0,1.3,1.7,110.0,900.0,15.0,
14,1,23.0,8.5,17.77939853,16.8,0.8,50.9,17,169.2,2700,224.61375,112.306875,16.63805556,850.0,1.3,1.7,110.0,900.0,15.0,
